TimeFrame,Type,Station,Class,Type,Count,Pct
DoD,Revenue,06,EZ CAPS,3H,49.22,11.4427860696517
YoY,Count,06,EZ CAPS,3H,-42,-15.7894736842105
YoY,Revenue,06,EZ CAPS,3H,-89.88,-15.7894736842105
DoD,Count,06,EZ CAPS,4H,90,48.9130434782609
DoD,Revenue,06,EZ CAPS,4H,234.9,48.9130434782609
YoY,Count,06,EZ CAPS,4H,59,27.4418604651163
YoY,Revenue,06,EZ CAPS,4H,153.99,27.4418604651163
DoD,Count,06,EZ CAPS,5S,79,19.6029776674938
DoD,Revenue,06,EZ CAPS,5S,236.21,19.6029776674938
YoY,Count,06,EZ CAPS,5S,88,22.3350253807107
YoY,Revenue,06,EZ CAPS,5S,263.12,22.3350253807107
DoD,Count,06,EZ CAPS,6H,25,62.5
DoD,Revenue,06,EZ CAPS,6H,107,62.5
YoY,Count,06,EZ CAPS,6H,22,51.1627906976744
YoY,Revenue,06,EZ CAPS,6H,94.16,51.1627906976744
DoD,Count,06,EZ CAPS,6S,20,500
DoD,Revenue,06,EZ CAPS,6S,59.8,500
YoY,Count,06,EZ CAPS,6S,20,500
YoY,Revenue,06,EZ CAPS,6S,59.8,500
DoD,Count,06,EZ CAPS,7H,3,10.3448275862069
DoD,Revenue,06,EZ CAPS,7H,14.25,10.3448275862069
YoY,Count,06,EZ CAPS,7H,9,39.1304347826087
YoY,Revenue,06,EZ CAPS,7H,42.75,39.1304347826087
DoD,Count,06,EZ CAPS,7S,-2,-11.7647058823529
DoD,Revenue,06,EZ CAPS,7S,-5.98,-11.7647058823529
YoY,Count,06,EZ CAPS,7S,-5,-25
YoY,Revenue,06,EZ CAPS,7S,-14.95,-25
DoD,Count,06,EZ CAPS,Sub Total,267,13.587786259542
DoD,Revenue,06,EZ CAPS,Sub Total,689.87,11.5669264406052
YoY,Count,06,EZ CAPS,Sub Total,124,5.88235294117647
YoY,Revenue,06,EZ CAPS,Sub Total,462.86,7.47613132897335
DoD,Count,06,TOTALS,TOTALS,1790,4.01687536466047
DoD,Revenue,06,TOTALS,TOTALS,3127.97,4.87271240860266
YoY,Count,06,TOTALS,TOTALS,-7704,-14.2518869320704
YoY,Revenue,06,TOTALS,TOTALS,-8543.06,-11.2609247206604
DoD,Count,06,TOTALS,Commuter,121,7.63406940063091
DoD,Revenue,06,TOTALS,Commuter,66.55,7.63406940063091
YoY,Count,06,TOTALS,Commuter,-717,-29.5914156004953
YoY,Revenue,06,TOTALS,Commuter,-394.35,-29.5914156004953
DoD,Count,06,TOTALS,Passenger,790,2.23492135340048
DoD,Revenue,06,TOTALS,Passenger,920.82,2.16335513870263
YoY,Count,06,TOTALS,Passenger,-6933,-16.0966775788814
YoY,Revenue,06,TOTALS,Passenger,-8261.91,-15.9659165902213
DoD,Count,06,TOTALS,Commercial,820,11.0244689432643
DoD,Revenue,06,TOTALS,Commercial,2140.6,10.3124569431076
DoD,Count,06,TOTALS,Non-Revenue,59,30.8900523560209
YoY,Count,06,TOTALS,Non-Revenue,17,7.29613733905579
DoD,Count,06,TOTALS,TOTAL,-5842,-11.1928574165613
DoD,Revenue,06,TOTALS,TOTAL,-5250.69,-7.23511886840525
YoY,Count,06,TOTALS,TOTAL,-7704,-14.2518869320704
YoY,Revenue,06,TOTALS,TOTAL,-8543.06,-11.2609247206604
DoD,Count,06,TOTALS,TOTAL,1862,3.56745986128674
DoD,Revenue,06,TOTALS,TOTAL,3292.37,4.53667771450445
YoY,Count,89,TollsByMail,2L,-1189,-18.4255385092205
YoY,Revenue,89,TollsByMail,2L,-1189,-18.4255385092205
DoD,Count,89,TollsByMail,3L,11,26.1904761904762
DoD,Revenue,89,TollsByMail,3L,16.5,26.1904761904762
YoY,Count,89,TollsByMail,3L,22,70.9677419354839
YoY,Revenue,89,TollsByMail,3L,33,70.9677419354839
YoY,Count,89,TollsByMail,4L,-31,-93.9393939393939
YoY,Revenue,89,TollsByMail,4L,-54.25,-93.9393939393939
DoD,Count,89,TollsByMail,2H,6,5.30973451327434
DoD,Revenue,89,TollsByMail,2H,12,5.30973451327434
DoD,Count,89,TollsByMail,3H,11,33.3333333333333
DoD,Revenue,89,TollsByMail,3H,24.75,33.3333333333333
YoY,Count,89,TollsByMail,3H,9,25.7142857142857
YoY,Revenue,89,TollsByMail,3H,20.25,25.7142857142857
DoD,Count,89,TollsByMail,4H,-12,-60
DoD,Revenue,89,TollsByMail,4H,-33,-60
YoY,Count,89,TollsByMail,4H,-7,-46.6666666666667
YoY,Revenue,89,TollsByMail,4H,-19.25,-46.6666666666667
DoD,Count,89,TollsByMail,5H,11,10.5769230769231
DoD,Revenue,89,TollsByMail,5H,46.75,10.5769230769231
YoY,Count,89,TollsByMail,5H,-12,-9.44881889763779
YoY,Revenue,89,TollsByMail,5H,-51,-9.44881889763779
DoD,Count,89,TollsByMail,6H,5,125
DoD,Revenue,89,TollsByMail,6H,22.5,125
YoY,Count,89,TollsByMail,6H,6,200
YoY,Revenue,89,TollsByMail,6H,27,200
DoD,Count,89,TollsByMail,7H,1,50
DoD,Revenue,89,TollsByMail,7H,5,50
YoY,Count,89,TollsByMail,Sub Total,-1207,-17.6875732708089
YoY,Revenue,89,TollsByMail,Sub Total,-1243.25,-16.5910455728298
DoD,Count,89,EZ AMS,Commuter,444,6.68574009938262
DoD,Revenue,89,EZ AMS,Commuter,124.32,6.6848413479376
YoY,Count,89,EZ AMS,Commuter,-1794,-20.2049780380673
YoY,Revenue,89,EZ AMS,Commuter,-502.07,-20.1949222080994
YoY,Count,89,EZ AMS,Resident,-350,-9.47995666305525
YoY,Revenue,89,EZ AMS,Resident,-31.5,-9.47995666305525
DoD,Count,89,EZ AMS,Green Discount,2,66.6666666666667
DoD,Revenue,89,EZ AMS,Green Discount,1.72,66.6666666666667
YoY,Count,89,EZ AMS,Green Discount,1,25
YoY,Revenue,89,EZ AMS,Green Discount,0.86,25
DoD,Count,89,EZ AMS,Motor Cycle 2L,1,33.3333333333333
DoD,Revenue,89,EZ AMS,Motor Cycle 2L,0.5,33.3333333333333
YoY,Count,89,EZ AMS,Motor Cycle 2L,2,100
YoY,Revenue,89,EZ AMS,Motor Cycle 2L,1,100
YoY,Count,89,EZ AMS,2L,-1219,-15.2108809583229
YoY,Revenue,89,EZ AMS,2L,-1176.7,-15.3753683123942
DoD,Count,89,EZ AMS,3L,3,100
DoD,Revenue,89,EZ AMS,3L,4.29,100
YoY,Count,89,EZ AMS,3L,3,100
YoY,Revenue,89,EZ AMS,3L,4.29,100
DoD,Count,89,EZ AMS,4L,2,66.6666666666667
DoD,Revenue,89,EZ AMS,4L,3.41,68.4738955823293
YoY,Count,89,EZ AMS,4L,-4,-44.4444444444444
YoY,Revenue,89,EZ AMS,4L,-6.64,-44.1783100465735
YoY,Count,89,EZ AMS,2H,-22,-11.3989637305699
YoY,Revenue,89,EZ AMS,2H,-43,-11.6594360086768
DoD,Count,89,EZ AMS,3H,-20,-15.625
DoD,Revenue,89,EZ AMS,3H,-42.69,-15.5225074540033
YoY,Count,89,EZ AMS,3H,-36,-25
YoY,Revenue,89,EZ AMS,3H,-78.58,-25.2741951046927
DoD,Count,89,EZ AMS,4H,-8,-30.7692307692308
DoD,Revenue,89,EZ AMS,4H,-20.46,-30.0882352941176
YoY,Count,89,EZ AMS,4H,-35,-66.0377358490566
YoY,Revenue,89,EZ AMS,4H,-91.49,-65.8059411637776
DoD,Count,89,EZ AMS,5H,20,5.6980056980057
DoD,Revenue,89,EZ AMS,5H,83.95,5.77476027350145
YoY,Count,89,EZ AMS,5S,-7,-11.4754098360656
YoY,Revenue,89,EZ AMS,5S,-20.93,-11.4754098360656
DoD,Count,89,EZ AMS,6H,4,10.8108108108108
DoD,Revenue,89,EZ AMS,6H,18.22,11.3789657756682
YoY,Count,89,EZ AMS,6H,-3,-6.81818181818182
YoY,Revenue,89,EZ AMS,6H,-12.62,-6.60871386677838
DoD,Count,89,EZ AMS,6S,5,16.1290322580645
DoD,Revenue,89,EZ AMS,6S,14.95,16.1290322580645
YoY,Count,89,EZ AMS,6S,12,50
YoY,Revenue,89,EZ AMS,6S,35.88,50
DoD,Count,89,EZ AMS,7H,1,14.2857142857143
DoD,Revenue,89,EZ AMS,7H,4.75,14.2857142857143
YoY,Count,89,EZ AMS,7H,1,14.2857142857143
YoY,Revenue,89,EZ AMS,7H,4.75,14.2857142857143
YoY,Count,89,EZ AMS,7S,-5,-55.5555555555556
YoY,Revenue,89,EZ AMS,7S,-14.95,-55.5555555555556
DoD,Count,89,EZ AMS,Non-Revenue,-3,-5.45454545454545
DoD,Revenue,89,EZ AMS,Non-Revenue,0,NaN
YoY,Count,89,EZ AMS,Non-Revenue,-24,-31.5789473684211
YoY,Revenue,89,EZ AMS,Non-Revenue,0,NaN
DoD,Count,89,EZ AMS,Sub Total,619,3.53997483701247
YoY,Count,89,EZ AMS,Sub Total,-3491,-16.165030561215
YoY,Revenue,89,EZ AMS,Sub Total,-1978.03,-14.757739488814
DoD,Count,89,EZ CAPS,2L,14,6.08695652173913
DoD,Revenue,89,EZ CAPS,2L,13.3,6.08695652173914
YoY,Count,89,EZ CAPS,2L,-64,-20.7792207792208
YoY,Revenue,89,EZ CAPS,2L,-60.8,-20.7792207792208
YoY,Count,89,EZ CAPS,2H,-24,-12.7659574468085
YoY,Revenue,89,EZ CAPS,2H,-45.6,-12.7659574468085
DoD,Count,89,EZ CAPS,3H,-44,-24.1758241758242
DoD,Revenue,89,EZ CAPS,3H,-94.16,-24.1758241758242
YoY,Count,89,EZ CAPS,3H,-21,-13.2075471698113
YoY,Revenue,89,EZ CAPS,3H,-44.94,-13.2075471698113
DoD,Count,89,EZ CAPS,4H,-26,-46.4285714285714
DoD,Revenue,89,EZ CAPS,4H,-67.86,-46.4285714285714
YoY,Count,89,EZ CAPS,4H,-6,-16.6666666666667
YoY,Revenue,89,EZ CAPS,4H,-15.66,-16.6666666666667
DoD,Count,89,EZ CAPS,6H,26,72.2222222222222
DoD,Revenue,89,EZ CAPS,6H,111.28,72.2222222222222
YoY,Count,89,EZ CAPS,6H,29,87.8787878787879
YoY,Revenue,89,EZ CAPS,6H,124.12,87.8787878787879
DoD,Count,89,EZ CAPS,6S,32,64
DoD,Revenue,89,EZ CAPS,6S,95.68,64
YoY,Count,89,EZ CAPS,6S,20,32.258064516129
YoY,Revenue,89,EZ CAPS,6S,59.8,32.258064516129
DoD,Count,89,EZ CAPS,7H,1,12.5
DoD,Revenue,89,EZ CAPS,7H,4.75,12.5
YoY,Count,89,EZ CAPS,7H,4,80
YoY,Revenue,89,EZ CAPS,7H,19,80
DoD,Count,89,EZ CAPS,7S,-1,-7.69230769230769
DoD,Revenue,89,EZ CAPS,7S,-2.98999999999999,-7.69230769230768
YoY,Count,89,EZ CAPS,7S,-4,-25
YoY,Revenue,89,EZ CAPS,7S,-11.96,-25
YoY,Count,89,EZ CAPS,Sub Total,-91,-5.91677503250975
YoY,Revenue,89,EZ CAPS,Sub Total,-66.0299999999997,-1.59842167056003
DoD,Count,89,TOTALS,TOTALS,675,2.75577692496122
DoD,Revenue,89,TOTALS,TOTALS,558.060000000001,2.63454317306522
YoY,Count,89,TOTALS,TOTALS,-4789,-15.9857133319981
YoY,Revenue,89,TOTALS,TOTALS,-3287.31,-13.1346395346932
DoD,Count,89,TOTALS,Commuter,444,6.68574009938262
DoD,Revenue,89,TOTALS,Commuter,124.32,6.6848413479376
YoY,Count,89,TOTALS,Commuter,-1794,-20.2049780380673
YoY,Revenue,89,TOTALS,Commuter,-502.07,-20.1949222080994
YoY,Count,89,TOTALS,Resident,-350,-9.47995666305525
YoY,Revenue,89,TOTALS,Resident,-31.5,-9.47995666305525
YoY,Count,89,TOTALS,Passenger,-2480,-16.6890982503365
YoY,Revenue,89,TOTALS,Passenger,-2449.67,-16.8576424611069
YoY,Count,89,TOTALS,Commercial,-141,-5.75275397796818
YoY,Revenue,89,TOTALS,Commercial,-304.07,-3.9603380099715
DoD,Count,89,TOTALS,Non-Revenue,-3,-5.45454545454545
DoD,Revenue,89,TOTALS,Non-Revenue,0,NaN
YoY,Count,89,TOTALS,Non-Revenue,-24,-31.5789473684211
YoY,Revenue,89,TOTALS,Non-Revenue,0,NaN
DoD,Count,89,TOTALS,TOTAL,675,2.75577692496122
DoD,Revenue,89,TOTALS,TOTAL,558.060000000001,2.63454317306522
YoY,Count,89,TOTALS,TOTAL,-4789,-15.9857133319981
YoY,Revenue,89,TOTALS,TOTAL,-3287.31,-13.1346395346932
DoD,Count,89,TOTALS,TOTAL,5464,22.3075038785009
DoD,Revenue,89,TOTALS,TOTAL,3845.37,18.1535915159836
